,text,device,emotion
3870,kid ready backpack ipad one need come mommy let's go austin,iPad,Positive emotion
3871,right next trade show floor,,No emotion toward brand or product
3872,setting team android event,,No emotion toward brand or product
3873,thinking still good though google tweet new think speak belinsky,,No emotion toward brand or product
3874,talking mobile phone google earth fb empowering people fight back middle east dictator,,Positive emotion
3875,google circle rumour say we're launching product,,No emotion toward brand or product
3876,google launch major new social network called circle possibly today,,No emotion toward brand or product
3877,ipad device moment wireless power next essential technology api king,iPad,Positive emotion
3878,long line apple store downtown,,No emotion toward brand or product
3879,long line apple store,,No emotion toward brand or product
3880,already line ipad 2's arrived,,No emotion toward brand or product
3881,temporary apple store setup,,No emotion toward brand or product
3882,cool apple opening temporary store ipad2 launch,Apple,Positive emotion
3883,working tablet ipad app demo yet excited accesssxsw,iPad or iPhone App,Positive emotion
3884,loving hello holler gram ipad,iPad or iPhone App,Positive emotion
3885,notsurprised lot geosocial news today beginning google fire shot foursquare check reward,,No emotion toward brand or product
3886,i'm surprised local news austin mentioned traffic implication apple pop store launch today,Apple,No emotion toward brand or product
3887,many publisher ipad content enhancement like th worst david foster wallace footnote kinda interesting mostly irrelevant,iPad or iPhone App,Negative emotion
3888,fiendishly clever pop apple store selling ipad 2 apple store sxsw photo,iPad,Positive emotion
3889,iphone crisis phone stuck silver logo screen last 15 minute help,iPhone,Negative emotion
3890,playing risk ipad microsoft booth rep talk bbc reporter kinect trans device connectivity,,No emotion toward brand or product
3891,miss google's vp search marissa mayer last week listen interview,,No emotion toward brand or product
3892,loved marissa mayer's answer question favorite google product another amy's ice cream ref swiss watch,,No emotion toward brand or product
3893,missed marissa mayer yesterday presentation available anywhere sure streamed,,No emotion toward brand or product
3895,must resist buying ipad2 really want notionink adam instead apple store launch,iPad,Positive emotion
3896,someone mistakenly walked ipad pepsicostage screen look like,,No emotion toward brand or product
3897,mistake made building netflix iphone plus see source code,,No emotion toward brand or product
3898,twit geekbeat free idea hooded snuggie tummy pocket ipad facing look like teletubbie i'm old,,No emotion toward brand or product
3899,exhibit hall open visit emc chance win ipad,iPad,Positive emotion
3900,i'd love google said want know,,No emotion toward brand or product
3901,made press room got swag registered ipad hopefully get meet mike tyson,,No emotion toward brand or product
3902,know season 10 app update whenever open iphone app store,,No emotion toward brand or product
3903,good question brand answer probably except apple course maybe netflix,Apple,Positive emotion
3904,made sense financially would android v iphone side,,No emotion toward brand or product
3905,sound like hired apple pitch product,,No emotion toward brand or product
3906,gotta admit apple pop shop thing pretty brilliant someone aapl know they're,Apple,Positive emotion
3907,cant wait give samsung people demo horrible terrible google nexus phone,Google,Negative emotion
3908,pull website iphone awesome glad wasted time festivalgenius notsomuch,iPhone,Negative emotion
3909,said even better iphone verizon revenge yr ridicule glad verizon customer,iPhone,Positive emotion
3910,unlisted apple store suddenly appears corner 6th congress apple ipad,Apple,Positive emotion
3911,actually true apple opening temporary store downtown austin ipad2 launch,,No emotion toward brand or product
3912,know bad un rsvp see use calendar iphone fml,,Negative emotion
3913,crazy loving never seen many apple product thick rimmed glass one place,Apple,Positive emotion
3914,next step google becoming skynet,Google,Negative emotion
3915,digital innovator new rock star like awesome talk insight future musicconnex,,No emotion toward brand or product
3916,we're excited giddy announce music withme android available android market,Android App,Positive emotion
3917,think literally everyone iphone guy dropped iphone foot,,No emotion toward brand or product
3918,playing new service rolled web iphone version android webos,,No emotion toward brand or product
3919,hanging checking awesome new iphone app ask around six lounge 10 others,iPad or iPhone App,Positive emotion
3920,hanging last night party blast,,No emotion toward brand or product
3922,line rob apple ipad2,,No emotion toward brand or product
3923,qa bing google let game begin qagb,,No emotion toward brand or product
3924,finally picture apple open pop shop sxsw report,,No emotion toward brand or product
3925,qa google bing website ranking rockstar panel lineup,,No emotion toward brand or product
3926,qa google's bing's ranking session mon 12 30pm,,No emotion toward brand or product
3927,playing fave new iphone app wow rock next week,iPad or iPhone App,Positive emotion
3928,dancing google 80 party ain't truth need girl joint,,Positive emotion
3929,keep new japan quake iphone nhk world tv live,iPhone,Positive emotion
3930,filming ipad much cooler lame iphone live show,iPad,Positive emotion
3931,playing ipad black white,iPad,Positive emotion
3932,one day without shoe thoms shoe new app iphone android,,No emotion toward brand or product
3933,mayer admits google need consolidate product namely latitude hotpot feature product,,No emotion toward brand or product
3934,mayer admits google need step one one customer service would set amazing precedent fh,Google,Positive emotion
3935,maybe little excited seeing bear creature iphone v evo video er priority,iPhone,Positive emotion
3936,lax security question suitcase packed entirely energy drink apple wire blowingup,,No emotion toward brand or product
3937,productivity lost hookup put ipad screen busy,,No emotion toward brand or product
3938,exclusive apple ipad review still better rest bnet biz ipad2 apple ipad,iPad,Positive emotion
3940,would give apple stock like slim,,Positive emotion
3942,creative process illustrated check book,,No emotion toward brand or product
3943,i'll live tweeting panel google's marissa mayer present starting 30 follow along using suxsw hashtag,,No emotion toward brand or product
3944,they're giving away ipad 2's box book techenvy,iPad,Positive emotion
3945,netflix iphone app built ridiculous deadline big mistake tech's part agree,iPad or iPhone App,Negative emotion
3946,realized really talk dog using ipad facetime,,No emotion toward brand or product
3947,met jared android meetup big android fan,Android,Positive emotion
3948,jc penney location google map point stuff store guy claim,,No emotion toward brand or product
3949,jealous love apple store,Apple,Positive emotion
3950,really enjoying change gowalla android looking forward seeing else foursquare sleeve,Android App,Positive emotion
3951,google's j implementation pac man's game logic really cool see really neat original game code recreated j,Google,Positive emotion
3952,arrived gsdm google industry party austin tx,,No emotion toward brand or product
3953,blogged meeting earlier thanks interesting insight,,No emotion toward brand or product
3954,checking iphone app nice check fun,iPad or iPhone App,Positive emotion
3955,found apple opening pop shop dt austin hoping camp,,No emotion toward brand or product
3956,gave great 15 minute preso designing android mccannsxsw,Android,Positive emotion
3957,google google circle new social network concept originally rumored released day soon,,No emotion toward brand or product
3958,got ipad apple store thank much,iPad,Positive emotion
3959,got go iphone app,iPad or iPhone App,Positive emotion
3960,saw lax i'm heading wife iphone ipad download app freespeech,iPad or iPhone App,Positive emotion
3961,started using android app totally killer service think huge hope server ready,Android App,Positive emotion
3962,starting ctia around corner googleio hop skip jump good time android fan,Android,Positive emotion
3963,synced ipad2 full apple joy,iPad,Positive emotion
3964,html5 shirt google saying easeljs favorite canvas library thanks brah,Google,Positive emotion
3965,great link gt gt _ edchat musedchat classical newtwitter,,No emotion toward brand or product
3966,great talk google doodle end hand printed signed doodle,Google,Positive emotion
3967,launchrock vencorps want give 30k best startup,,No emotion toward brand or product
3968,weinschenk bankinnovation next battle going happen apple google verizon att great point totally agree,Google,Positive emotion
3969,get look rumored apple pop store austin,,No emotion toward brand or product
3970,get look rumored apple pop store austin,,No emotion toward brand or product
3971,get look sxsw's rumored apple pop store apple applestore ipad2,,No emotion toward brand or product
3972,get look sxsw's rumored apple pop store apple,,No emotion toward brand or product
3973,32gb black att stock yes ipad2 austin apple,iPad,Positive emotion
3974,talk ipad design great example insight picking copy book,iPad,Positive emotion
3975,great talk game mechanic cant make good make red cant make red make big,,No emotion toward brand or product
3976,look blue hair i've got free android phone info sticker allhat3,,Positive emotion
3977,great talk designing good tapworthy ipad apps may actually pick book,iPad or iPhone App,Positive emotion
3978,hollrback released iphone user grab app,iPad or iPhone App,Positive emotion
3979,launchrock launching ipad sky grab click find location launch,,No emotion toward brand or product
3980,launchrock launching ipod ipad sky grab join find location launch,,No emotion toward brand or product
3981,first talk day ipad design headache,iPad,Negative emotion
3982,sneak peak google exhibit trade show,,No emotion toward brand or product
3983,great talk using game mechanic get user engagement google rocked,Google,Positive emotion
3984,come check ipad app demo arm's mon,,Positive emotion
3985,tech check podcast android pass blackberry big twitter fail cnn,,Positive emotion
3986,tech check podcast south southwest android pass blackberry big twitter fail cnn,Android,Positive emotion
3987,two week pop apple store downtown austin time ipad2 cool,iPad,Positive emotion
3988,first book purchased new ipad thank economy can't wait crushit afternoon tye,iPad,Positive emotion
3989,c23 check head code valid 12 00 59 59p 03 13 11 infektd cvdc,,No emotion toward brand or product
3990,josh clark hate ipad's back button heat million sun tapworthy,iPad,Negative emotion
3991,josh clark's ipad ui talk fabulous full objective critique insightful suggestion,iPad,Positive emotion
3992,join starting tonight person friend city end festival win ipad,,No emotion toward brand or product
3993,join friend ur city end win ipad c'mon help chng world,iPad,Positive emotion
3994,hannukah miracle morning uncharged iphone still 55 battery,iPhone,Positive emotion
3995,google take google circle may announced today third try socialnetworking,,No emotion toward brand or product
3996,feel like badass gave free drink,,No emotion toward brand or product
3997,sound like job detail new bomb iphone app would love early adopter,iPad or iPhone App,Positive emotion
3998,sound like job detail new bomb iphone app would love early ado,iPad or iPhone App,Positive emotion
3999,sound like buzz rebranded inner circle google launch new social network circle,Google,Positive emotion
4000,feel like harry dumbanddumber panel google peep understandinghumans,,No emotion toward brand or product
4001,feel like i'm apple commercial waiting line fly,,No emotion toward brand or product
4003,can't take hand iphone even charging zero juice left appleaddiction,iPhone,Positive emotion
4004,checked trade show right across google,,No emotion toward brand or product
4005,kenya asked blog may tomorrow apple pop store coming,,No emotion toward brand or product
4006,hope kept tha nxdc app there's app iphone downloaded,,No emotion toward brand or product
4007,heartbreaker apple ipad2 asked sadly,,No emotion toward brand or product
4008,heat tracker cool heatmap iphone app overlay foursquare everything fire,iPad or iPhone App,Positive emotion
4009,ipad2 seeker still waiting austin apple pop,,No emotion toward brand or product
4010,ipad2 take line already halfway block around noon craziness,iPad,Positive emotion
4011,google take mantra dont evil heart yet pride product make guilty 7th deadly sin superbia,Google,Negative emotion
4012,apple marketing still impressive,Apple,Positive emotion
4013,jesus hockey mask i'm worse thought apple store sxsw,,No emotion toward brand or product
4014,got turkey random apple fan bought lunch everyone line popup apple store ipad2 cc,Apple,Positive emotion
4015,awaiting keynote speaker chris poole iphone twitpict,,No emotion toward brand or product
4016,facebook killer google circle announced sxsw interactive festival google,,No emotion toward brand or product
4017,really liking iphone app thanks making event app appears work well,iPad or iPhone App,Positive emotion
4018,wiebe walking conceptual graphing loving,,No emotion toward brand or product
4019,survival kit provided folk line apple store morning genius,Apple,Positive emotion
4020,eating kitkat size half ipad gotta love american sense measure,,No emotion toward brand or product
4021,know awesome ipad iphone app likely appreciate design also they're giving free t,iPad or iPhone App,Positive emotion
4022,playhopskoch apple app store well android market getting ready rock,iPad or iPhone App,Positive emotion
4023,folk lonely planet iphone guide austin free week,,No emotion toward brand or product
4024,folk what's best new iphone ipad app come across far,,No emotion toward brand or product
4025,folk anybody going ipad android panel 30,,No emotion toward brand or product
4026,desktop publishing saved apple pagemaker gift god,Apple,Positive emotion
4027,inofficial torrent available,,No emotion toward brand or product
4028,successful trip learned ton lot new insight knowledge new reading list playlist wrote submitted new iphone app,,No emotion toward brand or product
4029,apple opening temporary apple store 6th congress tomorrow march 11 ipad sale miss sxsw,,No emotion toward brand or product
4030,apple setting shop year whole geekdom take collective shy relief,,No emotion toward brand or product
4031,feel better 106 1st day ipad store sold everything except 64gig wifi white,,Positive emotion
4032,contextual discovery search combine calendar weather flight traffic data create personalized trip advising mayer google,,No emotion toward brand or product
4033,contextual discovery part future according google,,No emotion toward brand or product
4034,contextual discovery find answer question google,,No emotion toward brand or product
4035,mint goal iphone app top finance app,,No emotion toward brand or product
4036,well known steve job hate iphone autocorrected sxsw ass's,,No emotion toward brand or product
4037,new social medium tool google launch major new social network circle possibly today,,No emotion toward brand or product
4038,device ipad one hang entire day 37 remaining others died hour ago,iPad,Positive emotion
4039,call major yet google launch major new social network called circle,,No emotion toward brand or product
4040,new social network google news abuzz launch googlecircles,Other Google product or service,Positive emotion
4041,new social network may debut google circle eatdrinktweet done yet,Other Google product or service,Positive emotion
4042,new social network may launch 2day google launch major new social network called circle possibly today,Other Google product or service,Positive emotion
4043,msft panel touch interface show bunch tablet ipad dontbehatin,iPad,Positive emotion
4044,apple open popup store friday 6th congress via,,No emotion toward brand or product
4045,historical photo mashup google map,,No emotion toward brand or product
4046,thing ppl say make laugh want free turn turn gps wait take pic sidewalk cmon,,No emotion toward brand or product
4047,take time others catch ipad tapworthy,iPad,Positive emotion
4048,super cool apple's pop store office building austin,Apple,Positive emotion
4049,took 8th row plane spot ipad thought going elonsxsw,,No emotion toward brand or product
4050,people google din know either i'm hip though,,No emotion toward brand or product
4051,prize apple product sigh,Apple,Negative emotion
4052,sxsw panel google envisions search without search,,No emotion toward brand or product
4053,special apple store 6th congress open today austin attendee able buy ipad2 starting 5pm,,No emotion toward brand or product
4054,html5 apple microsoft likely javascript integration browser compete collaborate system amoral,,No emotion toward brand or product
4055,umbrella list set edchat musedchat newtwitter,,No emotion toward brand or product
4056,2nd place fandango karaoke 1st prize yr fandango tkts useless canada 2nd prize useful ipad,iPad,Positive emotion
4057,iphone blackberry android hootsuite app updated via hootsuite,,No emotion toward brand or product
4058,lol glad chris poole showing meme text pretty funny google,,No emotion toward brand or product
4059,one lady shopping bluefly ipad nav design panel boot,,No emotion toward brand or product
4060,what's laptop think may go ipad laptop today cont,iPad,Positive emotion
4061,josh clark's session ipad tablet development first note ipad leisure planning restful device tapworthy webvisions,iPad,Positive emotion
4062,last least get copy stupid game plus iphone also special price,iPad or iPhone App,Positive emotion
4063,last day fastcompanygrille come last day iphone makery zazzlesxsw,,No emotion toward brand or product
4064,next last panel today google doodle burning man pac man beyond googledoodles,,No emotion toward brand or product
4065,24 hour later retreat back hotel bushwhacked ringo deathstarr'd never seen many effect pedal,,No emotion toward brand or product
4066,grab latest,,No emotion toward brand or product
4067,latest iphone long would take fix much,,No emotion toward brand or product
4068,cool latest version google map mobile 3d building sure they've mapped au detail yet,Other Google product or service,Positive emotion
4069,launched 1st ipad app get detail first edition free,,No emotion toward brand or product
4070,launching gowalla droid push 4square groupon,Android,Positive emotion
4071,ipad sold retail store except pop store austin igottagetit,iPad,Positive emotion
4072,ipad2 sold 70 went new buyer wow,iPad,Positive emotion
4073,ipad sold 70 went new buyer report socialmedia tech ipad2 medium,,No emotion toward brand or product
4074,stock mophie juice pack apple temp store open austin ipad launch,,Positive emotion
4075,held new ipad envy baby still working well,iPad,Positive emotion
4076,man google launch circle talk striking iron hot,Google,Positive emotion
4077,lovin apple ipad2 apple austin,iPad,Positive emotion
4078,apple ipad2 line took le 10 minute,,No emotion toward brand or product
4079,cant handle traffic dear app iphone sucked day crashing,iPad or iPhone App,Negative emotion
4080,love google analytics thanks follower took time check new post,Other Google product or service,Positive emotion
4081,hope people ask tough question reminder android chrome tt talk pm today,,No emotion toward brand or product
4082,double buzzing issue iphone io getting annoying news iphone may fly across room gr2l2,iPhone,Negative emotion
4083,geen google circle vandaag we're launching product we're plenty else,,No emotion toward brand or product
4084,google circle take facebook circle,,No emotion toward brand or product
4085,google circle take facebook circle,,No emotion toward brand or product
4087,google fan town stop austin gtug meeting wednesday 7th 00pm map link,,No emotion toward brand or product
4088,next battle bank mobile phone operator google apple bankinnovation,,No emotion toward brand or product
4089,chris poole 4chan recommends google refrigerator magnet game cute shared experience game,Other Google product or service,Positive emotion
4090,tech apple head set temporary store austin,Apple,Positive emotion
4091,apple ipads per capital anywhere else world except foxconn,,No emotion toward brand or product
4092,apple elegant fascist company america flipboard,Apple,Negative emotion
4093,google launch new social network called circle south southwest today circle google,,No emotion toward brand or product
4094,google launched next social medium flop yet,Other Google product or service,Negative emotion
4095,apple like pay that's apple like barry diller acc ballroom pic,Apple,Negative emotion
4097,google map mobile demonstration rocked world uosxsw marissamayer,Other Google product or service,Positive emotion
4098,wow google map mobile v5 demo nice,Other Google product or service,Positive emotion
4099,google name built gettinng stuff trying user see work marissagoogle,Google,Positive emotion
4100,apple opening temporary store austin sxsw ipad launch,,No emotion toward brand or product
4101,tech apple opening pop store austin,Apple,Positive emotion
4102,gsdm google party hook,Google,Positive emotion
4103,apple picked great venue launch new ipads,Apple,Positive emotion
4104,apple pop store still ipads stock waiting line apple ipad2,,No emotion toward brand or product
4105,google preview major new social service called google circle today,,No emotion toward brand or product
4106,google reveal new social network called circle google facebook,,No emotion toward brand or product
4107,google reveal new social network called circle google facebook twitter,,No emotion toward brand or product
4108,google reveal new social network called circle google facebook twitter,,No emotion toward brand or product
4109,google reveal new social network called circle google facebook twitter,,No emotion toward brand or product
4110,tech apple save set open pop store,,No emotion toward brand or product
4111,cool apple set 000 sq ft temporary store sell ipad 2's,Apple,Positive emotion
4112,popup apple store crew giving water people line street clothes apple logo anywhere yet,,No emotion toward brand or product
4113,popup apple store open love going right middle action,Apple,Positive emotion
4114,apple store run day boo apple,Apple,Negative emotion
4115,japan apple store serve rallying point massive quake entry friend house,Apple,Positive emotion
4116,love google street map getting idea everything relation austin convention center alamo drafthouse cinema,Other Google product or service,Positive emotion
4117,make people think they've arrived wrong website make go google search site killcommunity,,No emotion toward brand or product
4118,apple naomi campbell pop store rage,,No emotion toward brand or product
4119,apple naomi campbell pop store rage,Other Apple product or service,No emotion toward brand or product
4120,apple naomi campbell pop store rage apple naomi ca,,No emotion toward brand or product
4121,cool apple open temporary store sxsw,Apple,Positive emotion
4122,nice apple open pop store across office,Apple,Positive emotion
4123,google tv late overrun xbox ps3 wii netflix like ready barry diller qa,,No emotion toward brand or product
4124,google talking topicality reputation search ranking i'm sure saw bing writing note qagb,,No emotion toward brand or product
4125,dear google photobooth suck,Other Google product or service,Negative emotion
4126,apple elegant fascist corporation america today kara swisher flipboard,Apple,Negative emotion
4127,sxsw people hacky sack app ipad stop asking,,No emotion toward brand or product
4128,google bing qa panel like world's expensive seo consultation,Google,Positive emotion
4129,temp apple tore set yay austin tech,Apple,Positive emotion
4130,rumour cleared gt gt we're launching product we're plenty else join u,,No emotion toward brand or product
4131,learn design headache ipad,iPad,Negative emotion
4132,ready learn designing ipad interface new navigation schema uxdes,iPad,Positive emotion
4133,plane leaving never seen many apple device one plane,Apple,Positive emotion
4134,google celebrating pi day style,Google,Positive emotion
4135,spark selected finalist team android choice award austin 13 please come support,Android,Positive emotion
4136,yeah googlegays get sxswsex popular gay dating app grindr android grindr,Android App,Positive emotion
4137,leo laporte pledge fan's wife gb wifi white ipad leo drunk,,No emotion toward brand or product
4139,barry diller say ipad magazine like daily make sense,iPad or iPhone App,Negative emotion
4140,barry diller say silly write content one form factor apple like get money,Apple,Negative emotion
4141,barry diller talk daily beast newsweek daily ipad seo sem thedaily barrydiller topnews,,No emotion toward brand or product
4142,barry diller truly emotional thing ipad harlow ipad2 diller better,iPad,Positive emotion
4143,barry diller newsbeast merger might work barry diller news barry_diller iac newsweek cyber iphone,,No emotion toward brand or product
4144,barry diller ipad newspaper app ipad superseded,,No emotion toward brand or product
4145,barry diller's pragmatic straight forward nice look like want u grab pitchfork v apple,Apple,Negative emotion
4146,every outlet bar iphone charger driskill hotel bar 16 others pic,,No emotion toward brand or product
4147,let know get apple tv colleague who'll fly vega short trip day,,No emotion toward brand or product
4148,ipad tablet etc aiding greater adoption mobile device screen size larger mobilefarm,,No emotion toward brand or product
4149,let's go apple store score ipad widfy,iPad,Positive emotion
4150,go let's rate review session although experience iphone bit torturous,iPhone,Negative emotion
4151,clever ipad2 come first day pop apple store right indoor town austin clever,iPad,Positive emotion
4152,aron pilhofer new york time endorsed html ipad newsapps asked u tweet actually said,iPad,Positive emotion
4153,austin police hard work guarding apple store,,No emotion toward brand or product
4154,mean sliced bread great google bread going revolutionary,Google,Positive emotion
4155,si julie life death rockaroke struggle win ipad fandango party hole bad religion far,iPad,Positive emotion
4156,want likability virgin trustworthiness zappos product apple pnid enchantment,Apple,Positive emotion
4157,look like laptop dock motorola atrix android phone att awesome,Android,Positive emotion
4158,partying like 1986 last time privacy law updated google aclu maggie mae's pic,,Positive emotion
4159,lt nice lil sizzle reel gt number video music socialmedia,,No emotion toward brand or product
4160,first line store ipad2 apple store sxsw pic,Apple,Positive emotion
4161,10 30 line apple pop store austin open pm,,No emotion toward brand or product
4162,long line ginger man's bathroom saved 829 pop apple store closed right midnight walked,,No emotion toward brand or product
4163,141st line ipad2 apple store sxsw 38 others,,No emotion toward brand or product
4164,mad long line google party maggie mae's hope worth 80 theme optimistic,,Positive emotion
4165,first line morning apple pop store austin caught morning,,No emotion toward brand or product
4166,apple decline html5 browser war iv panel,,No emotion toward brand or product
4167,apple selling ipad california great building cult following,iPad,Positive emotion
4168,who's killing chevytweethouse ipad dj,iPad,Positive emotion
4169,still feeling pukey jet blue terminal smelling like fart managed buy apple slice notwinning,,No emotion toward brand or product
4170,apple selling new terp2it album 200 lined apple pop store,,No emotion toward brand or product
4171,link google story work thx,,No emotion toward brand or product
4172,link google huh see austin let buy drink,,No emotion toward brand or product
4173,listen talk marissa mayer,,No emotion toward brand or product
4174,going listen former coworker speak trip mar nasa ipad time,,No emotion toward brand or product
4175,staying alive indie iphone game development survive acc room 12ab 22 others,,No emotion toward brand or product
4176,watching live tsunami apple ipad line austin mostly oh sexy,,No emotion toward brand or product
4177,ipad2 delivery pop store quite possible,iPad,Positive emotion
4178,never realized story meaning behind every google logo cool loving hearing googledoodle team gsdm,Google,Positive emotion
4179,austin folk store carry apple accessory keyboard mouse near alamo lake creek mine make trip,,No emotion toward brand or product
4180,calling android iphone app devs need follow find screenburn cool swag,,No emotion toward brand or product
4181,fell asleep hour eye open staring stream ipad,,No emotion toward brand or product
4182,ipad taking i'm prepared fun weekend career,iPad,Positive emotion
4183,google connect digital physical world mobile,,No emotion toward brand or product
4184,google connect digital physical world mobile mobile mcommerce,,No emotion toward brand or product
4185,google eat rhizome hilton,Google,Negative emotion
4186,omg still line new ipad dieing hunger else line,iPad,Positive emotion
4187,welcome ipad owner new used ipad owner there's room everyone party postpc,iPad,Positive emotion
4188,google launch new social network called circle focused increased privacy relevance announced,,No emotion toward brand or product
4189,google launch major new social network called circle,,No emotion toward brand or product
4190,google soll noch heute social network google circle starten,,No emotion toward brand or product
4191,google launch facebook competitor circle today thought creeper half friend world disappointed,Google,Negative emotion
4192,google preview major new social service circle today say ht,,No emotion toward brand or product
4193,hearing sort conflicting report google launching circle googleme real word austin,,No emotion toward brand or product
4194,suck google preview major new social service circle today,Other Google product or service,Negative emotion
4195,google take world acc ballroom 97 others,Google,Positive emotion
4196,look people ipad 1's shame,iPad,Negative emotion
4197,want yall know apple built pop store day selling ipad2 wow,Apple,Positive emotion
4198,morning hearing google circle today,,No emotion toward brand or product
4199,yes gowalla win best andoid app team android choice award thanks,Android App,Positive emotion
4200,app called hand need app turn iphone wifi mouse ipad exist,,No emotion toward brand or product
4201,hello holler gram come take look new first ipad app hollergram,iPad or iPhone App,Positive emotion
4202,hello holler gram get know new ipad app hollergram,,No emotion toward brand or product
4203,killer shot got last night nokiaconnects concert,,No emotion toward brand or product
4204,realllllllly need upgrade phone haha 10 iphone apps ll probably need use,iPad or iPhone App,Positive emotion
4205,barton hollow free song download featured album 2011 featured mix itunes,,No emotion toward brand or product
4206,feel silly cannot figure update mobile app android seem option bottom left button,,Negative emotion
4207,really good look ie9 today apple fanboy impressed,iPad or iPhone App,Positive emotion
4208,tim o'reilly web definition company survived built value consumer generated data ebay amazon google,,No emotion toward brand or product
4209,really hoping would bring android version oh well maybe someday long time,Android App,Negative emotion
4210,overload info delivered google kill discovery google say ppl lose curiosity wonder need serendipity,Google,Negative emotion
4211,data overload every month 45bil piece facebook content 3bil tweet 11bil google search,,No emotion toward brand or product
4212,downloaded ipad app countering jetlag austin,,Positive emotion
4213,downloaded go app android market let's get ittttt,Android App,Positive emotion
4214,downloaded asddieu app preparation pumped need check app event networking,iPad or iPhone App,Positive emotion
4215,woman lobby there's website called like stupid iphone speller ppl taking pic funny autocorrected word,,No emotion toward brand or product
4216,rumoured location apple pop store iun austin texas,Apple,No emotion toward brand or product
4217,guy get logo tattoo ipad austin,,No emotion toward brand or product
4218,lol apple pop store ipad 2's flying shelf hipster feeding frenzy,iPad,Positive emotion
4219,wow long queue people apple pop store bought ipads room nokiaconnects,iPad,Positive emotion
4220,look new ubersocial iphone app store includes uberguide,,Positive emotion
4221,look like could get ipad2 apple,iPad,Positive emotion
4222,awesome lost colleague left iphone car fail,,No emotion toward brand or product
4223,lost way caring much business tim o'reilly,,No emotion toward brand or product
4224,expect lot buzz ipad since come tomorrow support flash maybe elonsxsw,iPad,Positive emotion
4225,kinda jealous ubiquity ipad's,iPad,Positive emotion
4226,lot love google apis session visualizing government data including map map api fusion table refine,Other Google product or service,Positive emotion
4227,love ipad2 got one pop apple store attendee,iPad,Positive emotion
4228,love y'all come i'm getting login authorization error almost every time open app iphone,iPad or iPhone App,Negative emotion
4229,apple employee psyche line pop shop moment ipad go sale,Apple,Positive emotion
4230,apple employee showed force popup apple store ipad2,,Positive emotion
4231,help request where's downtown austin apple store i've walked past can't find show map search thx,,No emotion toward brand or product
4232,whrrl girl handing chance win audi car come find u apple store sxsw,,No emotion toward brand or product
4233,apple built pop store day open 24 selling ipad 2's,,No emotion toward brand or product
4234,apple built experience ecosystem ipod mp3 player app critthink,,No emotion toward brand or product
4235,love lt gt hey austin know little iphone android love music wanna make 20 hour please let know hey,,No emotion toward brand or product
4236,valuable apple ipad apps top critical task managed uber la lt ipad day,,No emotion toward brand or product
4237,luckily pop store,,Positive emotion
4238,hey lucky dog ipads check holler gram app,iPad,Positive emotion
4239,failure google buzz google latitude google circle seriously google need concentrate search fail google,Google,Negative emotion
4240,we're lustre pearl teamandroidsxsw cause love android geek,Android,Positive emotion
4241,mr heavenly aka band michael cera ready rock bat bar iphone camera de rigeur,iPhone,Positive emotion
4242,timely bing's search engine share continues rise 13 google still top 65,Google,Positive emotion
4243,hmm right brain mwrc11 left brain 10 attendee mac ipad,iPad,Positive emotion
4244,matter time googleto launch social network may called google circle,,No emotion toward brand or product
4245,finally get everyone buy facebook google introduces circle fair stop innovation people,,Negative emotion
4246,finally get everyone buy facebook google introduces circle fair stop innovation people,Other Google product or service,Negative emotion
4247,deliciously ironic google privacy party made whole banking cartel military scientific dictatorship takeover cab rant,,No emotion toward brand or product
4248,really long line get aclu google party sure wait,Google,Positive emotion
4249,desperately need charging station spot dying iphone,,No emotion toward brand or product
4250,really need get vaccine iphone onset prostate cancer chortler's cough mustachepox real thing,,No emotion toward brand or product
4251,beautifully smart simple idea wrote hollergram ipad app,iPad or iPhone App,Positive emotion
4252,tim oreilly saying value made web large database user contribution google craigs list,,No emotion toward brand or product
4253,crm scrm join sxsw next sunday 13 noon hilton austin coffee chat old act user show viporbit iphone,,No emotion toward brand or product
4254,funny poem mom ipad session,,No emotion toward brand or product
4255,scepticism expressed ipad newspaper,,No emotion toward brand or product
4256,well i'm first line 10 hour go ipad apple sleepy,,No emotion toward brand or product
4257,kingdom way filter tweet include word unlocked twitter iphone app,,No emotion toward brand or product
4258,know i'm late game really dig flipboard ipad,iPad,Positive emotion
4259,sad i'm missing ipad launch south sound chill ipad jk,iPad,Positive emotion
4260,atomic tom rocked cnn grill party they're brooklyn google also food drink fantastic,,No emotion toward brand or product
4261,video popup apple store,,No emotion toward brand or product
4262,video tim wu explains netneutrality information empire thanks,,No emotion toward brand or product
4263,photo made austin made made party hosted google aclu,,No emotion toward brand or product
4264,making new fan friend hope hanging six lounge rooftop google blogger party gr8 dj,,No emotion toward brand or product
4265,gingerman there's gent kilt playing ipad nnnneeerrrrddddsss,,No emotion toward brand or product
4266,first many google launch major new social network called circle possibly today,,No emotion toward brand or product
4267,got many cool thing headset usb drive iphone charger galore earphone must 1k product rad,,Positive emotion
4268,google's marissa mayer awesome marissagoogle,Google,Positive emotion
4269,google's marissa mayer demo'ing contextual discovery using history time search refine result,,No emotion toward brand or product
4270,google's marissa mayer extolling coolness google mobile map mobile surpassed desktop usage 1st time year,,No emotion toward brand or product
4271,google's marissa mayer presenting location nerd read swoon,,No emotion toward brand or product
4272,google's marissa mayer mobile contextual discovery power,,No emotion toward brand or product
4273,google's marissa mayer location based fast fun future,,No emotion toward brand or product
